Ledger Name,Under,Opening Balance,Opening Dr/Cr,GSTIN,State,City
Star Agencies 0059,Sundry Debtors,0,Cr,36XZLUA3663H7ZG,Telangana,Indore
Neha Kulkarni 0060,Sundry Debtors,0,Cr,36XAIBL3606C2ZV,Telangana,Kolkata
Sunrise Trading Co 0061,Sundry Debtors,0,Cr,24TBOWZ0945H7ZM,Gujarat,Surat
Rohan Sharma 0062,Sundry Debtors,0,Dr,08KEAUU4488G7ZX,Rajasthan,Kolkata
Pioneer Distributors 0063,Sundry Debtors,0,Cr,23HNAKB1946C3ZO,Madhya Pradesh,Lucknow
Saanvi Desai 0064,Sundry Debtors,0,Cr,,Gujarat,Kochi
Zenith Industries 0065,Sundry Debtors,0,Dr,32BWXZV3798X3Z2,Kerala,Chennai
Vivaan Patel 0066,Sundry Debtors,0,Cr,27RHFHV0087A4ZI,Maharashtra,Chennai
Metro & Sons 0067,Sundry Creditors,0,Dr,33FVXFJ7330Y7ZK,Tamil Nadu,Kochi
Crescent Trading Co 0068,Sundry Debtors,0,Cr,03RRHXF7779L9ZN,Punjab,Coimbatore
Orbit Traders 0069,Sundry Creditors,0,Cr,23CQCBR7238H1ZQ,Madhya Pradesh,Ahmedabad
Bharat & Sons 0070,Sundry Creditors,84225.62,Dr,36YRFEH2651E9ZT,Telangana,Jaipur
Ananya Desai 0071,Sundry Debtors,0,Dr,07MDAKQ1071A1ZX,Delhi,Jaipur
Neha Singh 0072,Sundry Debtors,0,Dr,27JPUCE1041O8Z7,Maharashtra,Bhopal
Apex Marketing 0073,Sundry Debtors,0,Cr,,Punjab,Hyderabad
Aditya Mehta 0074,Sundry Debtors,0,Cr,,West Bengal,Coimbatore
Ganga Enterprises 0075,Sundry Debtors,0,Dr,23YNNZF9645R2ZM,Madhya Pradesh,Delhi
Aadhya Shah 0076,Sundry Debtors,0,Dr,32BPCTZ4605L6Z5,Kerala,Coimbatore
Unity Retail 0077,Sundry Creditors,0,Dr,33CMWJQ1859M6ZV,Tamil Nadu,Pune
Pari Patel 0078,Sundry Debtors,0,Dr,07VLTIK8486P4ZF,Delhi,Jaipur
Star Distributors 0079,Sundry Debtors,16008.45,Dr,32MFMUH8052O3ZT,Kerala,Hyderabad
Nikhil Bose 0080,Sundry Creditors,0,Cr,,Kerala,Indore
Sneha Das 0081,Sundry Creditors,0,Cr,23NPZMV4889U8ZB,Madhya Pradesh,Delhi
Pioneer Retail 0082,Sundry Debtors,32762.05,Cr,36CKBXI3584C1ZB,Telangana,Bhopal
Crescent Trading Co 0083,Sundry Creditors,82071.57,Cr,32TTWLP4237F8ZH,Kerala,Mumbai
Orbit Traders 0084,Sundry Debtors,32610.5,Dr,29JNTSB5726M1ZP,Karnataka,Bhopal
Metro & Sons 0085,Sundry Debtors,35284.5,Cr,03XLQJF9190M8ZA,Punjab,Jaipur
Zenith Solutions 0086,Sundry Debtors,34926.11,Dr,09ZDFKW7289M4ZA,Uttar Pradesh,Coimbatore
Reyansh Menon 0087,Sundry Debtors,0,Dr,,Madhya Pradesh,Bhopal
Karan Verma 0088,Sundry Creditors,81477.29,Dr,09JORTP8129I2ZS,Uttar Pradesh,Bhopal
Nova Wholesale 0089,Sundry Debtors,6214.73,Cr,33SZYCE9959Y2ZK,Tamil Nadu,Nagpur
Amit Bose 0090,Sundry Debtors,0,Cr,07PYROW8376E1Z3,Delhi,Bhopal
Zenith Trading Co 0091,Sundry Debtors,0,Cr,23OIHPS3309I3ZX,Madhya Pradesh,Jaipur
Apex Distributors 0092,Sundry Creditors,0,Cr,33IYRJJ4688G5Z8,Tamil Nadu,Surat
Global & Sons 0093,Sundry Debtors,83587.55,Cr,09BKNYE8139Y9Z8,Uttar Pradesh,Pune
Apex Retail 0094,Sundry Debtors,85679.47,Cr,08VHLWS8275B4ZT,Rajasthan,Surat
Sai Das 0095,Sundry Creditors,0,Cr,27CJIIZ9589O5ZG,Maharashtra,Lucknow
Metro Exports 0096,Sundry Debtors,0,Cr,,Punjab,Coimbatore
Prime Solutions 0097,Sundry Debtors,0,Dr,29NLEOS3980E9ZO,Karnataka,Lucknow
Royal Wholesale 0098,Sundry Debtors,0,Cr,07EJGQZ4331W8ZT,Delhi,Surat
Everest Distributors 0099,Sundry Debtors,0,Dr,07RJIJV9836M4Z3,Delhi,Indore
Royal Industries 0100,Sundry Debtors,0,Cr,03CAKGF5963G7Z3,Punjab,Delhi
Global Enterprises 0101,Sundry Creditors,0,Dr,,Telangana,Jaipur
Royal Retail 0102,Sundry Debtors,0,Cr,08CRLPL5065N8ZY,Rajasthan,Ahmedabad
Bharat Agencies 0103,Sundry Debtors,0,Cr,29NCSJS4379U1ZP,Karnataka,Bhopal
Saanvi Kumar 0104,Sundry Debtors,0,Dr,03HNEID0919C2ZH,Punjab,Bengaluru
Rohan Menon 0105,Sundry Debtors,24757.77,Cr,08RTFBI0037G4ZX,Rajasthan,Bengaluru
Prime Retail 0106,Sundry Creditors,25716.71,Dr,03EREPI6115U6Z1,Punjab,Coimbatore
Pioneer Traders 0107,Sundry Debtors,0,Cr,36OFFIC2773V6ZI,Telangana,Surat
Bharat Traders 0108,Sundry Debtors,0,Cr,23CPQIJ0212Z7ZD,Madhya Pradesh,Kolkata
Vertex Exports 0109,Sundry Debtors,75343.83,Dr,,Telangana,Kochi
Apex & Sons 0110,Sundry Debtors,0,Dr,07PGEEC3619B9Z1,Delhi,Chennai
Amit Singh 0111,Sundry Debtors,68111.57,Cr,,Punjab,Ahmedabad
Sunrise Exports 0112,Sundry Creditors,0,Dr,03ULGCY4420O3ZT,Punjab,Lucknow
Unity Industries 0113,Sundry Creditors,0,Dr,,Maharashtra,Kolkata
Sunrise Retail 0114,Sundry Debtors,0,Cr,07KDCOC2447C7ZX,Delhi,Chennai
Everest Traders 0115,Sundry Debtors,0,Cr,32BIFUQ5079B5ZD,Kerala,Bhopal
Riya Kulkarni 0116,Sundry Creditors,0,Cr,19XTRMA0110C5ZN,West Bengal,Kochi
Unity & Sons 0117,Sundry Debtors,44139.23,Dr,09UFXGC9244X4Z7,Uttar Pradesh,Indore
Apex & Sons 0118,Sundry Debtors,0,Cr,23ZIUFW5208Z9Z0,Madhya Pradesh,Mumbai
Apex Solutions 0119,Sundry Debtors,0,Dr,27SLHVY6455P4ZD,Maharashtra,Indore
Ira Iyer 0120,Sundry Debtors,46597.03,Cr,03FWYUV8898S5Z7,Punjab,Delhi
Prime Marketing 0121,Sundry Debtors,0,Cr,,Kerala,Hyderabad
Aadhya Reddy 0122,Sundry Debtors,62453.45,Dr,07CLORK9533D4ZD,Delhi,Indore
Nikhil Sharma 0123,Sundry Debtors,0,Cr,32CGINA0534O4ZO,Kerala,Indore
Aadhya Pillai 0124,Sundry Creditors,0,Dr,36BOLQA4502M3ZC,Telangana,Mumbai
Royal Solutions 0125,Sundry Debtors,36336.29,Dr,33TRHGI6749V3ZQ,Tamil Nadu,Bhopal
Aarav Kulkarni 0126,Sundry Debtors,28431.32,Cr,09ACVAG8207E5ZN,Uttar Pradesh,Ahmedabad
Nova Retail 0127,Sundry Debtors,27244.75,Cr,09PKMDT8212U2ZE,Uttar Pradesh,Kochi
Sunrise Exports 0128,Sundry Debtors,0,Dr,,West Bengal,Delhi
Arjun Reddy 0129,Sundry Debtors,0,Cr,03NRPGJ1533B1ZH,Punjab,Bengaluru
Unity Retail 0130,Sundry Debtors,24077.15,Cr,,Tamil Nadu,Surat
Vihaan Reddy 0131,Sundry Debtors,0,Dr,,Madhya Pradesh,Indore
Rahul Mehta 0132,Sundry Creditors,58316.75,Dr,32BNDCY8912H7ZH,Kerala,Hyderabad
Shakti Wholesale 0133,Sundry Creditors,0,Cr,,Delhi,Ahmedabad
Sunrise Trading Co 0134,Sundry Debtors,0,Cr,,Punjab,Coimbatore
Shakti Marketing 0135,Sundry Creditors,0,Dr,07DZWHH9982U9ZE,Delhi,Hyderabad
Riya Singh 0136,Sundry Debtors,0,Cr,32OIPKB4340L4ZX,Kerala,Pune
Rahul Pillai 0137,Sundry Debtors,0,Dr,03VZBFP5679T3Z8,Punjab,Mumbai
Crescent Distributors 0138,Sundry Debtors,76826.59,Cr,09VPKQM6306Q6ZJ,Uttar Pradesh,Indore
Royal Solutions 0139,Sundry Creditors,29900.41,Dr,29VACOQ4453V9ZI,Karnataka,Kochi
Bharat Exports 0140,Sundry Debtors,0,Cr,23NFCOG8172O8Z9,Madhya Pradesh,Ahmedabad
Sunrise Traders 0141,Sundry Creditors,88683.14,Cr,,Tamil Nadu,Indore
Crescent Marketing 0142,Sundry Debtors,0,Dr,24APMDH1918S9ZV,Gujarat,Coimbatore
Ishaan Sharma 0143,Sundry Creditors,0,Dr,07ZMYSZ6395U1ZL,Delhi,Bengaluru
Bharat Trading Co 0144,Sundry Debtors,0,Cr,08VJOJT5432F2Z8,Rajasthan,Lucknow
Neha Kulkarni 0145,Sundry Creditors,3225.6,Cr,36QUHUZ0688A5Z4,Telangana,Ahmedabad
Everest Agencies 0146,Sundry Debtors,72400.21,Dr,,Rajasthan,Indore
Aadhya Kumar 0147,Sundry Creditors,88998.54,Cr,32AZJBX2883P2ZP,Kerala,Surat
Prime Retail 0148,Sundry Debtors,0,Dr,23TUVKX9184G4ZK,Madhya Pradesh,Indore
Ganga Exports 0149,Sundry Debtors,0,Dr,08PXOME6619X1ZC,Rajasthan,Surat
Neha Reddy 0150,Sundry Debtors,0,Cr,,Maharashtra,Delhi
Vivaan Rao 0151,Sundry Debtors,2451.95,Dr,03MQQNK5202O8ZQ,Punjab,Bhopal
Prime Trading Co 0152,Sundry Debtors,75974.43,Dr,32BGNPP9906E8Z1,Kerala,Lucknow
Aadhya Verma 0153,Sundry Debtors,0,Dr,07YEFMD6465D9Z2,Delhi,Ahmedabad
Crescent Enterprises 0154,Sundry Debtors,14579.12,Cr,,Madhya Pradesh,Kolkata
Royal & Sons 0155,Sundry Debtors,19386.07,Cr,07DBCZR9372Q9Z8,Delhi,Pune
Aarav Patel 0156,Sundry Debtors,0,Dr,33SJHJM6912X4ZJ,Tamil Nadu,Nagpur
Prime Wholesale 0157,Sundry Debtors,0,Cr,23SBFSG4579R2ZE,Madhya Pradesh,Kochi
Apex Industries 0158,Sundry Debtors,0,Dr,19FPJVD9632R8ZH,West Bengal,Nagpur
Zenith Trading Co 0159,Sundry Debtors,83410.15,Cr,24YDGSZ7906X9Z6,Gujarat,Coimbatore
Nova Distributors 0160,Sundry Debtors,0,Dr,24GJUCL6499I4ZE,Gujarat,Delhi
Sunrise Enterprises 0161,Sundry Debtors,0,Cr,29CRQHU9159N4ZO,Karnataka,Kolkata
Global Agencies 0162,Sundry Debtors,0,Cr,07IUNCF8738J4ZM,Delhi,Ahmedabad
Sai Das 0163,Sundry Debtors,80361.14,Dr,,West Bengal,Coimbatore
Prime Traders 0164,Sundry Debtors,0,Cr,03GIMPY1905W3Z7,Punjab,Bhopal
Arjun Joshi 0165,Sundry Creditors,0,Dr,09VJVMR4791Y5ZV,Uttar Pradesh,Kochi
Star Traders 0166,Sundry Debtors,0,Dr,08XOMKC1146N2ZT,Rajasthan,Bengaluru
Nikhil Menon 0167,Sundry Debtors,87921.57,Dr,29RUAQH5402Q7ZU,Karnataka,Kolkata
Global Agencies 0168,Sundry Debtors,0,Dr,,Delhi,Mumbai
Metro Traders 0169,Sundry Debtors,0,Cr,19FMVRC1497V4ZG,West Bengal,Delhi
Sai Desai 0170,Sundry Creditors,36483.43,Dr,29JWPJT5952X6ZG,Karnataka,Surat
Amit Menon 0171,Sundry Creditors,73366.5,Cr,07DHHPS3234O9Z5,Delhi,Kolkata
Riya Pillai 0172,Sundry Debtors,0,Dr,23BNFFU9924C2ZY,Madhya Pradesh,Chennai
Nova Distributors 0173,Sundry Debtors,0,Cr,,Telangana,Kolkata
Reyansh Reddy 0174,Sundry Creditors,86387.67,Cr,,Gujarat,Ahmedabad
Ananya Desai 0175,Sundry Debtors,0,Dr,36LNRTX0792N3ZV,Telangana,Coimbatore
Unity Solutions 0176,Sundry Debtors,68606.6,Cr,08KLXOT7685V5ZA,Rajasthan,Kochi
Pooja Bose 0177,Sundry Creditors,0,Cr,09QIWWF6478N8ZF,Uttar Pradesh,Jaipur
Vertex Industries 0178,Sundry Debtors,0,Cr,,West Bengal,Lucknow
Karan Menon 0179,Sundry Debtors,31133.92,Cr,33QVWAT3072I5ZY,Tamil Nadu,Delhi
Priya Kumar 0180,Sundry Debtors,0,Dr,33YSCXN2625X3Z7,Tamil Nadu,Nagpur
Aarav Chowdhury 0181,Sundry Debtors,0,Cr,,Tamil Nadu,Lucknow
Karan Nair 0182,Sundry Creditors,0,Cr,33EYOEF9017N4ZO,Tamil Nadu,Ahmedabad
Ganga Distributors 0183,Sundry Debtors,0,Dr,09JFFUE0732R1ZH,Uttar Pradesh,Chennai
Deepak Mehta 0184,Sundry Debtors,0,Cr,29WWXHV9653H4Z5,Karnataka,Bengaluru
Bharat Traders 0185,Sundry Debtors,81855.86,Dr,33CJNIG5630R7ZH,Tamil Nadu,Surat
Sai Joshi 0186,Sundry Debtors,0,Dr,,Tamil Nadu,Bhopal
Bharat Distributors 0187,Sundry Creditors,0,Cr,36GJLTO7370O9ZA,Telangana,Kochi
Nikhil Nair 0188,Sundry Creditors,32793.12,Dr,,Kerala,Lucknow
Karan Singh 0189,Sundry Debtors,0,Dr,23YJCBP3564S8ZN,Madhya Pradesh,Surat
Star Industries 0190,Sundry Debtors,30281.1,Cr,24WEBPA3055C6ZB,Gujarat,Chennai
Pooja Verma 0191,Sundry Debtors,87190.1,Cr,33NZHRD8028J2Z6,Tamil Nadu,Indore
Diya Mehta 0192,Sundry Debtors,86068.47,Cr,32HBWCG7702I6Z2,Kerala,Mumbai
Vertex Traders 0193,Sundry Debtors,0,Dr,36YCYBA6612X4ZY,Telangana,Hyderabad
Shakti Traders 0194,Sundry Debtors,0,Dr,,Gujarat,Jaipur
Vertex Traders 0195,Sundry Debtors,0,Cr,23FAAXC7496E8ZE,Madhya Pradesh,Jaipur
Pioneer & Sons 0196,Sundry Creditors,68529.57,Dr,32YFKPJ1384J4Z3,Kerala,Delhi
Nova Industries 0197,Sundry Debtors,0,Dr,23RZFSY1765I8ZZ,Madhya Pradesh,Chennai
Amit Gupta 0198,Sundry Debtors,76312.49,Cr,08XZCHR7424T8ZL,Rajasthan,Kochi
Sai Menon 0199,Sundry Debtors,0,Dr,27KJWGC6711S9Z2,Maharashtra,Kolkata
Star Distributors 0200,Sundry Debtors,0,Cr,03LJCIC5101P2Z8,Punjab,Jaipur
Aarav Das 0201,Sundry Debtors,0,Dr,32MERTJ2069F9ZP,Kerala,Mumbai
Pioneer Enterprises 0202,Sundry Debtors,0,Dr,36CLRXL6870O7ZA,Telangana,Jaipur
Ganga Traders 0203,Sundry Debtors,0,Cr,27RGQGV0164V3ZE,Maharashtra,Kolkata
Krishna Kumar 0204,Sundry Creditors,0,Dr,03LHHLC0557J9Z8,Punjab,Mumbai
Riya Reddy 0205,Sundry Creditors,0,Dr,33PWXXA4217A6ZM,Tamil Nadu,Mumbai
Crescent Solutions 0206,Sundry Debtors,39141.19,Dr,24MBPVK9705H1ZZ,Gujarat,Coimbatore
Riya Iyer 0207,Sundry Creditors,0,Cr,24KJXYN3400F8ZI,Gujarat,Bhopal
Bharat Marketing 0208,Sundry Debtors,0,Cr,27JIGKH4150V7ZO,Maharashtra,Jaipur
Shakti Traders 0209,Sundry Debtors,8981.74,Cr,09CJPMY2591S9ZE,Uttar Pradesh,Bhopal
Global Agencies 0210,Sundry Debtors,41338.69,Cr,,Uttar Pradesh,Chennai
Unity Agencies 0211,Sundry Debtors,47377.34,Cr,23GRMBI7761E2ZY,Madhya Pradesh,Delhi
Karan Nair 0212,Sundry Creditors,37761.54,Dr,03MKXJR4829H6Z5,Punjab,Ahmedabad
Rohan Patel 0213,Sundry Creditors,87679.38,Cr,,Telangana,Indore
Apex Distributors 0214,Sundry Debtors,11393.59,Cr,32PKIJC1172Y4Z2,Kerala,Lucknow
Sai Joshi 0215,Sundry Debtors,0,Cr,24KTYCR8557F4ZU,Gujarat,Bhopal
Nova Agencies 0216,Sundry Creditors,67342.95,Cr,27LWWVQ5111P1Z6,Maharashtra,Nagpur
Riya Mehta 0217,Sundry Debtors,33807.29,Dr,08IBSTU1065O8ZM,Rajasthan,Lucknow
Vihaan Das 0218,Sundry Debtors,0,Cr,29VAWFU5134X2ZS,Karnataka,Pune
Pioneer Retail 0219,Sundry Debtors,0,Cr,23KMDFE6593C1ZV,Madhya Pradesh,Surat
Ishaan Kulkarni 0220,Sundry Creditors,76525.49,Dr,09CXEWW9964G7ZI,Uttar Pradesh,Indore
Ira Patel 0221,Sundry Creditors,0,Dr,29YRECN8329E4ZA,Karnataka,Nagpur
Pioneer Traders 0222,Sundry Creditors,0,Dr,,Uttar Pradesh,Kolkata
Aadhya Iyer 0223,Sundry Creditors,48901.25,Cr,,Maharashtra,Chennai
Bharat Enterprises 0224,Sundry Debtors,0,Dr,23UENJU4898I3Z4,Madhya Pradesh,Chennai
Apex Agencies 0225,Sundry Debtors,0,Dr,09JCMFL5972Q4ZE,Uttar Pradesh,Kochi
Apex Solutions 0226,Sundry Debtors,0,Cr,27ZCSKY2739F2ZD,Maharashtra,Hyderabad
Nikhil Desai 0227,Sundry Debtors,0,Dr,24RDVPX7369U2Z5,Gujarat,Delhi
Unity Industries 0228,Sundry Debtors,30691.26,Cr,07YBYVJ7704L2ZK,Delhi,Surat
Ganga Traders 0229,Sundry Debtors,0,Cr,36TZANE6378X7ZY,Telangana,Kolkata
Global Retail 0230,Sundry Debtors,0,Dr,09QRRGK8510K7ZF,Uttar Pradesh,Mumbai
Aditya Shah 0231,Sundry Creditors,0,Cr,27DRUNR5484J1ZF,Maharashtra,Chennai
Orbit Retail 0232,Sundry Creditors,0,Cr,33ZHROA8475C6ZI,Tamil Nadu,Chennai
Zenith Trading Co 0233,Sundry Debtors,0,Cr,19XIBIS1432E3ZD,West Bengal,Nagpur
Bharat Marketing 0234,Sundry Debtors,0,Cr,08RIRVM9318F5Z2,Rajasthan,Nagpur
Vertex Distributors 0235,Sundry Debtors,7411.97,Dr,33JWPKH1343B3ZR,Tamil Nadu,Surat
Sunrise Trading Co 0236,Sundry Debtors,0,Cr,23FOQBG7519R7Z8,Madhya Pradesh,Hyderabad
Royal Wholesale 0237,Sundry Debtors,67937.22,Dr,08SEDAO2889O7Z4,Rajasthan,Mumbai
Sunrise Marketing 0238,Sundry Debtors,0,Dr,23KTUKA4441M1ZP,Madhya Pradesh,Bengaluru
Rohan Sharma 0239,Sundry Debtors,0,Dr,19MHDPZ2541V6Z8,West Bengal,Kolkata
Karan Gupta 0240,Sundry Debtors,0,Cr,07VJCWK0772O3Z7,Delhi,Bhopal
Shakti Agencies 0241,Sundry Debtors,0,Dr,19DIMCC3605Y9ZK,West Bengal,Nagpur
Star Distributors 0242,Sundry Debtors,0,Dr,33FDCJR9938P7ZC,Tamil Nadu,Pune
Shakti Retail 0243,Sundry Debtors,0,Dr,,Tamil Nadu,Pune
Royal Marketing 0244,Sundry Debtors,0,Cr,,Madhya Pradesh,Ahmedabad
Riya Shah 0245,Sundry Creditors,0,Dr,29VIWNC3188Z6ZU,Karnataka,Nagpur
Ganga Wholesale 0246,Sundry Debtors,63173.15,Dr,27KMRCT4632Z9Z8,Maharashtra,Pune
Bharat & Sons 0247,Sundry Debtors,39365.11,Cr,36ZFUGS3608C4ZY,Telangana,Bhopal
Bharat Marketing 0248,Sundry Debtors,0,Cr,29RBHQR0365H1ZB,Karnataka,Mumbai
Nova Marketing 0249,Sundry Debtors,54308.28,Dr,19PZRCB5303R6ZD,West Bengal,Lucknow
Vihaan Kulkarni 0250,Sundry Debtors,26457.49,Dr,36LQWFZ8540A1ZA,Telangana,Kochi
Prime & Sons 0251,Sundry Creditors,0,Cr,,Gujarat,Indore
Diya Bose 0252,Sundry Debtors,82828.35,Dr,23BPATI9074F5ZX,Madhya Pradesh,Lucknow
Ira Nair 0253,Sundry Debtors,0,Cr,09BUJTS8255D1Z8,Uttar Pradesh,Coimbatore
Arjun Iyer 0254,Sundry Debtors,72640.39,Cr,29OAVXP2325Z2Z3,Karnataka,Ahmedabad
Amit Rao 0255,Sundry Debtors,0,Dr,,Tamil Nadu,Bengaluru
Saanvi Das 0256,Sundry Debtors,0,Dr,,Madhya Pradesh,Jaipur
Priya Menon 0257,Sundry Creditors,0,Cr,,Uttar Pradesh,Pune
Zenith Distributors 0258,Sundry Debtors,0,Dr,33WLEFB6582U5Z8,Tamil Nadu,Hyderabad
Shakti Wholesale 0259,Sundry Debtors,0,Dr,33WLERY6474Q9Z4,Tamil Nadu,Chennai
Aadhya Menon 0260,Sundry Debtors,0,Dr,,Kerala,Coimbatore
Nikhil Kumar 0261,Sundry Debtors,40393.82,Dr,29SWQOE9229C3ZU,Karnataka,Hyderabad
Rahul Mehta 0262,Sundry Debtors,0,Cr,,Madhya Pradesh,Delhi
Anjali Verma 0263,Sundry Debtors,64965.37,Cr,,Rajasthan,Chennai
Kavya Nair 0264,Sundry Creditors,35554.54,Dr,32YRONI3044R4ZB,Kerala,Chennai
Sai Chowdhury 0265,Sundry Debtors,0,Dr,19GYYJK4372H7ZF,West Bengal,Nagpur
Global Enterprises 0266,Sundry Creditors,0,Cr,,West Bengal,Coimbatore
Reyansh Singh 0267,Sundry Debtors,0,Dr,03HFGEW3121U5ZQ,Punjab,Bengaluru
Star Enterprises 0268,Sundry Creditors,9904.26,Dr,,Gujarat,Surat
Diya Nair 0269,Sundry Creditors,0,Dr,08VETDR4470T3ZQ,Rajasthan,Jaipur
Bharat Industries 0270,Sundry Creditors,0,Dr,23LLUGU6939D7Z8,Madhya Pradesh,Pune
Sunrise Trading Co 0271,Sundry Creditors,0,Dr,,Kerala,Kochi
